Date,6581963Q1,6581965D8,57583R5Q4,5741925B2,751100HG6,88283LHZ2,1301783X2,658256H70,93978HBK0,574193MP0,658256S78,34153PC55,34153QPX8,34153PG36,34153QTW6,34153PG44,373384PP5,917542QU9,399223BU9,345102JG3,574193NT1,574193KK3,574193LC0,915217WH2,797272KU4,797272KV2,68428PFH3,9151374C4,373384ZW9,414005B72,59524KAA6,88283LJT4,64971XRE0,64971QMS9,64971XUM8,658196PP9,442403LU3,5741925C0,8827227U9,88283LJA5,8827227S4,60636WRG2,658256H88,658256S86,34153QPY6,574193MQ8,736679KX8,57585KWC8,373385CF8,574193PA0,574193NU8,574193KL1,598223SW6,373384ZX7,882723SM2,88283LJU1,64971XUN6,64971QMT7,915217UE1,576029AS1,442403LW9,5741925D8,130178TQ9,88283LJB3,60636WRH0,8821357K6,8821357J9,658256S94,341422XX6,34153PY51,34153QPZ3,574193MR6,6582563C4,915217VC4,088281MJ6,088281MK3,91802RAV1,373385CG6,57585K3F3,880541SQ1,797272MY4,574193NV6,574193KM9,574193LE6,64971XGQ5,13068LKD6,373384ZY5,882723SN0,882723MX4,88283LJV9,64971WPA2,64971QMH3,64971XRH3,13067WKP6,442403LX7,930863T70,199492VG1,882723NG0,882723NH8,882723RQ4
1/1/2013,117.142,120.84,120.82,115.76,113.07,#N/A N/A,#N/A N/A,127.01,134.9,#N/A N/A,#N/A N/A,120.88,#N/A N/A,121.72,#N/A N/A,120.65,127.35,108.73,116.09,113.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.32,112.8,#N/A N/A,126.27,127.55,#N/A N/A,123.3,#N/A N/A,#N/A N/A,125.98,#N/A N/A,121.27,#N/A N/A,115.88,116.17,#N/A N/A,116.78,#N/A N/A,126.92,#N/A N/A,#N/A N/A,#N/A N/A,141.06,133.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.37,#N/A N/A,#N/A N/A,#N/A N/A,123.29,#N/A N/A,124.58,#N/A N/A,116.41,128.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.38,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.67,112.6,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.69,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.72,#N/A N/A,#N/A N/A,#N/A N/A,129.94,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/2/2013,117.187,121.04,121.1,116.504,112.987,#N/A N/A,#N/A N/A,125.923,134.918,#N/A N/A,#N/A N/A,120.285,#N/A N/A,121.523,#N/A N/A,120.256,127.259,110.117,116.018,113.713,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.91,113.219,#N/A N/A,126.246,127.436,#N/A N/A,123.329,#N/A N/A,#N/A N/A,125.487,#N/A N/A,121.24,#N/A N/A,116.588,116.471,#N/A N/A,116.911,#N/A N/A,126.721,#N/A N/A,#N/A N/A,#N/A N/A,141.26,133.254,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.217,#N/A N/A,#N/A N/A,#N/A N/A,122.821,#N/A N/A,123.508,#N/A N/A,117.785,128.342,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.719,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.456,112.263,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.954,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.813,#N/A N/A,#N/A N/A,#N/A N/A,129.376,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/3/2013,117.374,121.42,121.17,116.17,113.025,#N/A N/A,#N/A N/A,127.845,135.125,#N/A N/A,#N/A N/A,120.46,#N/A N/A,121.477,#N/A N/A,120.063,127.511,109.74,116.003,113.459,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.768,112.941,#N/A N/A,126.467,127.582,#N/A N/A,123.32,#N/A N/A,#N/A N/A,125.671,#N/A N/A,121.391,#N/A N/A,115.989,116.626,#N/A N/A,116.928,#N/A N/A,126.923,#N/A N/A,#N/A N/A,#N/A N/A,140.406,133.316,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.314,#N/A N/A,#N/A N/A,#N/A N/A,122.496,#N/A N/A,123.716,#N/A N/A,117.321,126.899,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.956,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.507,112.416,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.558,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.908,#N/A N/A,#N/A N/A,#N/A N/A,129.724,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/4/2013,117.257,121.01,120.44,116.212,112.957,#N/A N/A,#N/A N/A,127.735,135.012,#N/A N/A,#N/A N/A,120.276,#N/A N/A,121.025,#N/A N/A,119.967,127.424,109.282,115.556,113.33,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.78,113.907,#N/A N/A,126.362,127.532,#N/A N/A,122.999,#N/A N/A,#N/A N/A,125.6,#N/A N/A,120.64,#N/A N/A,116.735,116.111,#N/A N/A,116.675,#N/A N/A,126.749,#N/A N/A,#N/A N/A,#N/A N/A,140.104,133.044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.252,#N/A N/A,#N/A N/A,#N/A N/A,122.322,#N/A N/A,123.529,#N/A N/A,117.363,125.697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.702,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.273,112.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.542,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.837,#N/A N/A,#N/A N/A,#N/A N/A,129.779,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/5/2013,117.257,121.01,120.44,116.212,112.957,#N/A N/A,#N/A N/A,127.735,135.012,#N/A N/A,#N/A N/A,120.276,#N/A N/A,121.025,#N/A N/A,119.967,127.424,109.282,115.556,113.33,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.78,113.907,#N/A N/A,126.362,127.532,#N/A N/A,122.999,#N/A N/A,#N/A N/A,125.6,#N/A N/A,120.64,#N/A N/A,116.735,116.111,#N/A N/A,116.675,#N/A N/A,126.749,#N/A N/A,#N/A N/A,#N/A N/A,140.104,133.044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.252,#N/A N/A,#N/A N/A,#N/A N/A,122.322,#N/A N/A,123.529,#N/A N/A,117.363,125.697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.702,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.273,112.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.542,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.837,#N/A N/A,#N/A N/A,#N/A N/A,129.779,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/6/2013,117.257,121.01,120.44,116.212,112.957,#N/A N/A,#N/A N/A,127.735,135.012,#N/A N/A,#N/A N/A,120.276,#N/A N/A,121.025,#N/A N/A,119.967,127.424,109.282,115.556,113.33,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.78,113.907,#N/A N/A,126.362,127.532,#N/A N/A,122.999,#N/A N/A,#N/A N/A,125.6,#N/A N/A,120.64,#N/A N/A,116.735,116.111,#N/A N/A,116.675,#N/A N/A,126.749,#N/A N/A,#N/A N/A,#N/A N/A,140.104,133.044,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.252,#N/A N/A,#N/A N/A,#N/A N/A,122.322,#N/A N/A,123.529,#N/A N/A,117.363,125.697,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.702,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.273,112.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.542,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.837,#N/A N/A,#N/A N/A,#N/A N/A,129.779,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/7/2013,116.951,121.34,120.51,116.183,113.383,#N/A N/A,#N/A N/A,127.688,135.082,#N/A N/A,#N/A N/A,120.51,#N/A N/A,121.182,#N/A N/A,120.078,127.481,109.214,116.001,113.125,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.661,112.788,#N/A N/A,126.482,127.662,#N/A N/A,123.042,#N/A N/A,#N/A N/A,125.765,#N/A N/A,120.739,#N/A N/A,116.679,116.395,#N/A N/A,116.632,#N/A N/A,126.967,#N/A N/A,#N/A N/A,#N/A N/A,140.199,133.298,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.444,#N/A N/A,#N/A N/A,#N/A N/A,122.535,#N/A N/A,123.654,#N/A N/A,117.575,125.561,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,134.961,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.51,112.312,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.652,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.021,#N/A N/A,#N/A N/A,#N/A N/A,129.304,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/8/2013,117.058,121.46,120.59,116.506,113.615,#N/A N/A,#N/A N/A,127.751,135.133,#N/A N/A,#N/A N/A,120.602,#N/A N/A,121.289,#N/A N/A,120.178,127.562,109.46,116.235,113.283,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.538,112.978,#N/A N/A,126.396,127.757,#N/A N/A,123.46,#N/A N/A,#N/A N/A,125.824,#N/A N/A,126.242,#N/A N/A,117.043,117.63,#N/A N/A,116.702,#N/A N/A,127.031,#N/A N/A,#N/A N/A,#N/A N/A,140.424,133.29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.596,#N/A N/A,#N/A N/A,#N/A N/A,122.808,#N/A N/A,123.751,#N/A N/A,117.809,125.757,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.208,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.516,112.479,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,117.959,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.185,#N/A N/A,#N/A N/A,#N/A N/A,129.995,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/9/2013,118.484,122.09,120.97,116.638,113.969,#N/A N/A,#N/A N/A,128.322,135.836,#N/A N/A,#N/A N/A,121.216,#N/A N/A,121.859,#N/A N/A,120.648,129.116,109.81,118.933,113.661,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.643,113.283,#N/A N/A,127.086,128.811,#N/A N/A,123.496,#N/A N/A,#N/A N/A,126.463,#N/A N/A,126.816,#N/A N/A,117.055,118.279,#N/A N/A,116.784,#N/A N/A,127.668,#N/A N/A,#N/A N/A,#N/A N/A,141.57,134.49,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.687,#N/A N/A,#N/A N/A,#N/A N/A,123.423,#N/A N/A,124.51,#N/A N/A,117.965,126.189,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.921,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.6,113.336,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,118.743,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.67,#N/A N/A,#N/A N/A,#N/A N/A,130.545,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/10/2013,119.015,122.22,120.8,116.234,113.395,#N/A N/A,#N/A N/A,128.531,135.978,#N/A N/A,#N/A N/A,121.339,#N/A N/A,121.988,#N/A N/A,120.86,129.231,109.301,118.147,113.225,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,114.561,113.358,#N/A N/A,127.144,129.018,#N/A N/A,123.396,#N/A N/A,#N/A N/A,126.546,#N/A N/A,127.283,#N/A N/A,116.824,118.052,#N/A N/A,116.899,#N/A N/A,127.938,#N/A N/A,#N/A N/A,#N/A N/A,140.538,134.035,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.947,#N/A N/A,#N/A N/A,#N/A N/A,123.536,#N/A N/A,124.723,#N/A N/A,117.439,126.268,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.036,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.977,113.445,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.449,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.782,#N/A N/A,#N/A N/A,#N/A N/A,130.872,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/11/2013,118.916,122.1,121.25,116.317,113.907,#N/A N/A,#N/A N/A,128.418,135.854,#N/A N/A,#N/A N/A,121.257,#N/A N/A,122.059,#N/A N/A,120.826,128.573,109.285,118.529,113.638,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.267,114.082,#N/A N/A,127.013,128.878,#N/A N/A,123.631,#N/A N/A,#N/A N/A,126.456,#N/A N/A,126.75,#N/A N/A,116.826,118.196,#N/A N/A,117.127,#N/A N/A,127.684,#N/A N/A,#N/A N/A,#N/A N/A,141.532,133.631,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.741,#N/A N/A,#N/A N/A,#N/A N/A,123.36,#N/A N/A,124.409,#N/A N/A,117.448,126.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.798,113.868,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.503,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.895,#N/A N/A,#N/A N/A,#N/A N/A,131.422,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/12/2013,118.916,122.1,121.25,116.317,113.907,#N/A N/A,#N/A N/A,128.418,135.854,#N/A N/A,#N/A N/A,121.257,#N/A N/A,122.059,#N/A N/A,120.826,128.573,109.285,118.529,113.638,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.267,114.082,#N/A N/A,127.013,128.878,#N/A N/A,123.631,#N/A N/A,#N/A N/A,126.456,#N/A N/A,126.75,#N/A N/A,116.826,118.196,#N/A N/A,117.127,#N/A N/A,127.684,#N/A N/A,#N/A N/A,#N/A N/A,141.532,133.631,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.741,#N/A N/A,#N/A N/A,#N/A N/A,123.36,#N/A N/A,124.409,#N/A N/A,117.448,126.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.798,113.868,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.503,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.895,#N/A N/A,#N/A N/A,#N/A N/A,131.422,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/13/2013,118.916,122.1,121.25,116.317,113.907,#N/A N/A,#N/A N/A,128.418,135.854,#N/A N/A,#N/A N/A,121.257,#N/A N/A,122.059,#N/A N/A,120.826,128.573,109.285,118.529,113.638,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.267,114.082,#N/A N/A,127.013,128.878,#N/A N/A,123.631,#N/A N/A,#N/A N/A,126.456,#N/A N/A,126.75,#N/A N/A,116.826,118.196,#N/A N/A,117.127,#N/A N/A,127.684,#N/A N/A,#N/A N/A,#N/A N/A,141.532,133.631,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.741,#N/A N/A,#N/A N/A,#N/A N/A,123.36,#N/A N/A,124.409,#N/A N/A,117.448,126.3,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.798,113.868,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.503,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.895,#N/A N/A,#N/A N/A,#N/A N/A,131.422,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/14/2013,118.867,122.04,121.8,116.375,113.779,#N/A N/A,#N/A N/A,128.383,135.746,#N/A N/A,#N/A N/A,121.281,#N/A N/A,121.945,#N/A N/A,120.908,128.469,109.33,115.962,113.446,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.586,114.358,#N/A N/A,126.6,128.721,#N/A N/A,123.664,#N/A N/A,#N/A N/A,126.397,#N/A N/A,127.091,#N/A N/A,116.788,118.343,#N/A N/A,117.055,#N/A N/A,127.827,#N/A N/A,#N/A N/A,#N/A N/A,141.631,133.916,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.771,#N/A N/A,#N/A N/A,#N/A N/A,123.435,#N/A N/A,124.748,#N/A N/A,117.438,126.328,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,135.872,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,130.926,113.831,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.049,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,122.858,#N/A N/A,#N/A N/A,#N/A N/A,131.495,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/15/2013,119.015,122.19,121.88,116.608,114.981,#N/A N/A,#N/A N/A,128.574,136.235,#N/A N/A,#N/A N/A,121.508,#N/A N/A,121.983,#N/A N/A,121.127,128.675,109.574,116.007,113.229,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.64,114.31,#N/A N/A,126.805,128.967,#N/A N/A,123.692,#N/A N/A,#N/A N/A,126.612,#N/A N/A,127.2,#N/A N/A,116.989,118.439,#N/A N/A,116.85,#N/A N/A,126.96,#N/A N/A,#N/A N/A,#N/A N/A,142.059,134.063,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.966,#N/A N/A,#N/A N/A,#N/A N/A,123.548,#N/A N/A,124.777,#N/A N/A,117.727,126.397,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.1,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.072,113.916,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.19,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.031,#N/A N/A,#N/A N/A,#N/A N/A,131.771,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/16/2013,118.685,120.73,122.32,116.61,114.809,#N/A N/A,#N/A N/A,128.628,136.322,#N/A N/A,#N/A N/A,121.927,#N/A N/A,122.341,#N/A N/A,121.58,129.225,109.207,116.051,113.961,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,115.788,114.292,#N/A N/A,126.908,129.01,#N/A N/A,123.998,#N/A N/A,#N/A N/A,126.809,#N/A N/A,127.307,#N/A N/A,116.877,118.869,#N/A N/A,116.919,#N/A N/A,127.091,#N/A N/A,#N/A N/A,#N/A N/A,141.895,134.355,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.084,#N/A N/A,#N/A N/A,#N/A N/A,123.856,#N/A N/A,124.91,#N/A N/A,117.693,126.845,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.507,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.665,114.547,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.589,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.521,#N/A N/A,#N/A N/A,#N/A N/A,132.37,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/17/2013,118.632,120.7,122.28,116.483,115.096,#N/A N/A,#N/A N/A,128.531,136.319,#N/A N/A,#N/A N/A,121.786,#N/A N/A,122.227,#N/A N/A,121.366,129.188,108.803,116.504,114.089,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116.003,114.436,#N/A N/A,126.877,128.916,#N/A N/A,124.043,#N/A N/A,#N/A N/A,126.881,#N/A N/A,126.382,#N/A N/A,117.266,119.023,#N/A N/A,116.928,#N/A N/A,128.032,#N/A N/A,#N/A N/A,#N/A N/A,141.737,134.18,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,121.038,#N/A N/A,#N/A N/A,#N/A N/A,123.846,#N/A N/A,124.855,#N/A N/A,118.604,126.712,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.385,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.402,114.624,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.348,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.473,#N/A N/A,#N/A N/A,#N/A N/A,132.081,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/18/2013,118.571,120.66,122.91,116.625,114.863,#N/A N/A,#N/A N/A,128.462,136.298,#N/A N/A,#N/A N/A,122.001,#N/A N/A,122.342,#N/A N/A,121.599,129.14,109.084,116.385,114.024,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116.802,115.187,#N/A N/A,126.71,128.854,#N/A N/A,124.336,#N/A N/A,#N/A N/A,126.85,#N/A N/A,126.348,#N/A N/A,117.266,120.09,#N/A N/A,116.837,#N/A N/A,128.025,#N/A N/A,#N/A N/A,#N/A N/A,141.984,134.083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.983,#N/A N/A,#N/A N/A,#N/A N/A,123.842,#N/A N/A,124.757,#N/A N/A,118.782,126.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.633,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.428,114.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.403,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.55,#N/A N/A,#N/A N/A,#N/A N/A,132.327,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/19/2013,118.571,120.66,122.91,116.625,114.863,#N/A N/A,#N/A N/A,128.462,136.298,#N/A N/A,#N/A N/A,122.001,#N/A N/A,122.342,#N/A N/A,121.599,129.14,109.084,116.385,114.024,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116.802,115.187,#N/A N/A,126.71,128.854,#N/A N/A,124.336,#N/A N/A,#N/A N/A,126.85,#N/A N/A,126.348,#N/A N/A,117.266,120.09,#N/A N/A,116.837,#N/A N/A,128.025,#N/A N/A,#N/A N/A,#N/A N/A,141.984,134.083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.983,#N/A N/A,#N/A N/A,#N/A N/A,123.842,#N/A N/A,124.757,#N/A N/A,118.782,126.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.633,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.428,114.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.403,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.55,#N/A N/A,#N/A N/A,#N/A N/A,132.327,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/20/2013,118.571,120.66,122.91,116.625,114.863,#N/A N/A,#N/A N/A,128.462,136.298,#N/A N/A,#N/A N/A,122.001,#N/A N/A,122.342,#N/A N/A,121.599,129.14,109.084,116.385,114.024,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,116.802,115.187,#N/A N/A,126.71,128.854,#N/A N/A,124.336,#N/A N/A,#N/A N/A,126.85,#N/A N/A,126.348,#N/A N/A,117.266,120.09,#N/A N/A,116.837,#N/A N/A,128.025,#N/A N/A,#N/A N/A,#N/A N/A,141.984,134.083,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,120.983,#N/A N/A,#N/A N/A,#N/A N/A,123.842,#N/A N/A,124.757,#N/A N/A,118.782,126.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,136.633,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,131.428,114.835,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,119.403,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,123.55,#N/A N/A,#N/A N/A,#N/A N/A,132.327,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
